待售房屋,室,厅,卫,面积,朝向,楼层,建筑年份,小区名称,区,镇,道路,标签,总价,均价
产权清晰 满二 密度低 正南朝向 大两居 精装可拎包入住,2室,2厅,1卫,85.91,南,低层(共16层),2013年建造,蒲瑞祥园中区,武清,杨村街,光明道 近泉丰路,南 满二年 ,83,9662
蒲瑞馨园(南区) 十一中对面 停车免费 精装有电梯 大两房,2室,2厅,1卫,93,南,低层(共18层),2013年建造,蒲瑞馨园(南区),武清,杨村街,雍顺道,南 满二年 ,108,11613
福源花园 2室1商业配套齐全 朝南 楼层好 满五 大两房,2室,1厅,1卫,90.83,南,中层(共18层),2010年建造,福源花园,大港,古林街,港东八道 近海景七路,南 满五年 ,124,13652
楼层好 近医院 板楼 出行方便 南北通透 商圈成熟,1室,0厅,1卫,15,南北,共2层,2000年建造,安德里,河西,大营门,广东路,南北 近地铁 ,125,83334
道俊华园 顶跃两室 赠露台 阁楼 实用面积大,2室,1厅,1卫,62.08,南北,共5层,2003年建造,第六大道道俊华园,河东,上杭路,津滨大道,南北 近地铁 ,120,19330
医疗配套成熟 精装可拎包入住 有电梯 南北通透 中间楼层,2室,2厅,1卫,96.86,南北,中层(共16层),2013年建造,运泽花园小区(中区),武清,杨村街,杨崔路,南北 房东直卖 满二年 ,97,10015
蒲瑞祥园中区 低密度社区 南北通透 带电梯 满二,2室,2厅,1卫,83,南北,低层(共16层),2013年建造,蒲瑞祥园中区,武清,杨村街,光明道 近泉丰路,南北 满二年 采光较好 ,80,9639
向阳路 近医院 满二 交通便利 有钥匙随时看房 集中供暖,2室,1厅,1卫,68.53,南北,高层(共6层),1998年建造,乐至里,南开,向阳路,向阳路35号,南北 满二年 近地铁 ,105,15322
都旺新城兰芳园 大两室 H户型 南北通透 近地铁 采光充足,2室,2厅,1卫,110.45,南北,高层(共7层),2003年建造,都旺新城兰芳园,北辰,果园新村,北辰道 近高峰路,南北 满五年 ,126,11408
小区新 朝南 高楼层采光充足 有电梯 精装修 满二 动静分离,1室,2厅,1卫,71,南,高层(共30层),2016年建造,经纬城市绿洲学知华庭,武清,杨村街,雍和道 近新开路,南 满二年 车位充足 ,82,11550
十年前的价格 恒大绿洲馨园 精装大平层 双阳台 可观湖景,4室,2厅,2卫,164.77,南,低层(共20层),2013年建造,恒大绿洲馨园,东丽,东丽湖,芳樱路 近东丽大道,南 满五年 多人关注 ,118,7162
雍馨花园 精装修 中间楼层采光好 商业配套齐全 近医院 朝南,3室,2厅,1卫,128,南,共5层,2007年建造,雍馨花园,武清,杨村街,振华路,南 满五年 ,158,12344
蒲瑞馨园(南区) 商品住宅 有电梯 满二 居住密度低,2室,2厅,1卫,97.83,南,高层(共15层),2011年建造,蒲瑞馨园(南区),武清,杨村街,雍顺道,南 房东直卖 满二年 ,110,11244
远翠西里  低楼层南北向三居室采光好！,3室,1厅,1卫,74.15,南北,低层(共6层),1986年建造,远翠西里,河东,东新街,天山路,南北 满五年 近地铁 ,145,19555
普东新苑H户型低楼层 关键是带露台有加盖急！急！急！,2室,1厅,1卫,80.59,南北,中层(共6层),2006年建造,普东新苑,北辰,普东街,宜白路1728号,南北 满五年 近地铁 ,119,14767
三潭东里  南北向 私产 60.64平米,2室,1厅,1卫,60.64,南北,高层(共7层),1990年建造,三潭东里,南开,万兴街,三潭路125号,南北 近地铁 ,116,19130
澜湾花园洋房三室 南北通透全明 修,3室,2厅,1卫,100,南北,中层(共9层),2015年建造,澜湾花园,西青,中北,津杨路,南北 ,191,19100
南向大2室   业主急售地铁钥匙在手随时可看,2室,1厅,1卫,97,南,高层(共34层),2010年建造,九州国际,南开,鼓楼,南城街857号,南 满五年 近地铁 ,385,39691
新出好房 满五   中间楼层 观湖景 老客户钥匙房 水晶X片,2室,2厅,1卫,96,南北,高层(共31层),2009年建造,天浦园,河西,梅江南,环岛西路,南北 有电梯 近地铁 户型方正 ,241,25105
世茂璀璨公园 带电梯 刚需小三居 双卫格局 满二   次新房,3室,2厅,2卫,108,南,低层(共28层),2020年建造,世茂璀璨公园,津南,咸水沽,界河路,南 满二年 次新房 ,137,12686
胡家园街 出行方便 商品房 小区新 南北通透 中间楼层,2室,1厅,1卫,90,南北,中层(共33层),2014年建造,远洋城滨愉花园,塘沽,胡家园街,远洋城一支路 近远洋自然路,南北 满五年 ,78,8667
生态城 旅游区 精装洋房两室临近  出行方便,2室,2厅,1卫,79,南北,低层(共8层),2022年建造,新城金樾府,滨海新区,中新生态城,安定路 近海旭道,南北 热门小区 新上小区 配套成熟 ,120,15190
急售 央著洋房 精装两居 家具家电全送 有钥匙 随时看房,2室,2厅,1卫,88,南北,低层(共7层),2021年建造,新城悦隽央著,武清,杨村街,新安路,南北 满二年 车位充足 ,123,13978
双街镇 精装可拎包入住 南北通透 中间楼层采光好 交通便利,3室,2厅,1卫,111.07,南北,中层(共28层),2016年建造,融创半湾半岛,北辰,双街镇,双进道,南北 价格优惠 房东急售 随时可看 ,132,11885
祥和家园两室金角可看全景海河有钥匙随时看一二五六中！,2室,2厅,1卫,100,东南,高层(共34层),2000年建造,世纪祥和家园(滨海),塘沽,新港街,春阳路,东南 满五年 ,132,13200
新港街 南向采光好 正规商品房 满五 有电梯 商圈成熟,2室,1厅,1卫,85.08,南,低层(共6层),1987年建造,北仑里(西区),塘沽,新港街,新港三号路,南 满五年 ,95,11166
经纬城市绿洲学知华庭 南向采光好 楼层好 带电梯 满二,1室,1厅,1卫,71.53,南,中层(共30层),2016年建造,经纬城市绿洲学知华庭,武清,杨村街,雍和道 近新开路,南 满二年 车位充足 ,80,11185
南开学 校旁！56万两居  三阳开泰格局 明厨明卫,2室,2厅,1卫,84.39,南,低层(共33层),2015年建造,新华联世家,武清,高村镇,京津高速,南 房东直卖 ,56,6636
淮祥园 南向采光好 交通便捷 满五   商品房 刚需两居,2室,1厅,1卫,85,南,高层(共11层),2013年建造,淮祥园,北辰,普东街,姚江东路 近汾河道,南 满五年 近地铁 ,103,12118
福满园 满五   大两居 高楼层视野好 商业配套成熟古林街,2室,2厅,1卫,111.15,北,高层(共11层),2009年建造,福满园,大港,古林街,海景十路,北 满五年 ,100,8997
首创溪堤郡颂园 高楼层视野无遮挡 近地铁 交通便捷 大两房,2室,1厅,1卫,86,南,高层(共9层),2011年建造,首创溪堤郡颂园,东丽,华明镇,津汉公路,南 满二年 ,94,10931
急售 碧桂园云湖 赠20精装 南北通透 洋房社区 紧邻天河城,2室,2厅,1卫,88,南北,高层(共7层),2021年建造,碧桂园云湖,武清,下朱庄街,天和路,南北 满二年 次新房 ,62,7046
中海金湖湾 新出精装两室 南北通透 新小区  近 降价急售,2室,2厅,1卫,87.02,南北,高层(共25层),2018年建造,中海津湖湾,塘沽,工农村街,尧山道 近威海路,南北 ,93,10688
春和仁居 满二 小三居 商业配套齐全 临地铁 有电梯,3室,1厅,1卫,99.4,南北,中层(共10层),2008年建造,春和仁居,河北,建昌道街,建昌道 近群芳路,南北 满二年 近地铁 人气热搜 ,194,19518
35万可议格兰庭苑好楼层大两居室,2室,2厅,1卫,87,南北,中层(共6层),2012年建造,格兰庭苑,武清,陈咀镇,梅石路,南北 满二年 车位充足 ,35,4023
城际美景 中间楼层 南向采光好 刚需两居 临地铁 交通便利,2室,2厅,1卫,92.82,南,中层(共29层),2008年建造,城际美景,北辰,双街镇,双川道 近双辰北路,南 热门小区 满五 价格优惠 ,68,7327
青光 有电梯 朝南 大两居 次新小区 满五  ,2室,1厅,1卫,84.98,南,低层(共27层),2019年建造,荣悦园,北辰,青光,外环西路,南 房东直卖 满五年 次新房 ,92,10827
哈尔滨道小区 医疗配套成熟 出行方便 南向采光好,1室,0厅,0卫,11.04,南,共3层,1990年建造,哈尔滨道小区,和平,劝业场,哈尔滨道,南 满五年 近地铁 ,125,113225
才华里 低楼层 北房 私产 41.57平米,1室,1厅,1卫,41.57,南,低层(共6层),1990年建造,才华里,河西,天塔,体院北道,南 近地铁 ,120,28867
二PIAN 中山宾水北里 中楼层 私产一室 精装修 南北通透,1室,1厅,1卫,39.23,南,共5层,1990年建造,宾水北里,河西,天塔,环湖中路,南 近地铁 ,138,35178
瑞景街 商品住宅 临地铁 近医院 中间楼层 车位充足,3室,2厅,1卫,92.28,南,中层(共26层),2021年建造,龙洲道188号依湾花园,北辰,瑞景街,龙岩道,南 满二年 车位充足 人气热搜 ,179,19398
    天嘉湖花园别墅194平145W 带阁楼带大院带车位,4室,2厅,3卫,194,南,共3层,2010年建造,天嘉湖花园(别墅),津南,津南八里台,津港公路,南 满五年 绿化率高 ,145,7475
南开区兴南街龙凤里1室1厅,1室,1厅,1卫,35.65,东,高层(共6层),1990年建造,龙凤里(南开),南开,兴南街,二马路,东 满二年 近地铁 ,132,37027
龙悦花园 大两房 南北通透 近医院 满五 高楼层视野无遮挡,2室,2厅,1卫,93.87,南北,高层(共12层),2007年建造,龙悦花园,红桥,卲公庄街,芥园道,南北 满五年 近地铁 ,266,28338
柴楼新庄园金园 大两房 中间好楼层 近地铁 精装可拎包入住,2室,2厅,1卫,88,南,中层(共30层),2010年建造,柴楼新庄园金园,北辰,双街镇,顺境路,南 满二年 ,102,11591
邻北京！ 56万可议！通透两居  采光视野好  梅诺卡小镇,2室,2厅,1卫,85.7,南北,高层(共28层),2016年建造,首创国际半岛梅诺卡小镇,武清,高村镇,凤港路 近公学道,南北 ,56,6535
贻芳嘉园   全阳户型   精装两室  便宜,2室,2厅,1卫,87,南,低层(共23层),2005年建造,贻芳嘉园,塘沽,新港街,港滨路910号,南 满五年 近地铁 ,106,12184
花港里一楼阳面 商品房 集中供暖 精装可拎包入住 近地铁,1室,1厅,1卫,29.2,南,低层(共6层),2000年建造,花港里,南开,万兴街,白堤路163号,南 满五年 近地铁 ,128,43836
杨村街 满二 次新房 朝南 商品房 带电梯,1室,1厅,1卫,71,南,低层(共32层),2022年建造,经纬城市绿洲学知华庭,武清,杨村街,雍和道 近新开路,南 满二年 车位充足 ,82,11550
满五 购物方便 正南朝向 刚需两居 有电梯,2室,2厅,1卫,89,南,低层(共27层),2009年建造,新馨家园(滨海),塘沽,新河街,新北路718号,南 满五年 采光较好 ,95,10675
城际美景 交通便捷 满五 商品房 临地铁 刚需两居,2室,2厅,1卫,83,南,低层(共6层),2008年建造,城际美景,北辰,双街镇,双川道 近双辰北路,南 满五年 ,82,9880
（保真）河西一P 闽侯路校 正规一室好转手 集体可Luo,1室,1厅,1卫,21.36,东,高层(共6层),2006年建造,福至里,河西,下瓦房,绍兴道43号,东 满五年 近地铁 ,128,59926
焕玉里1楼 南北通透两室双阳台 私产 可议 钥匙房,1室,1厅,1卫,85.17,南北,低层(共7层),1996年建造,焕玉里,河北,王串场街,真理道32号,南北 满五年 近地铁 ,169,19843
贻成豪庭 大两居 小区新 出行方便 购物方便 南向采光好,2室,2厅,1卫,90,南,中层(共24层),2014年建造,贻成豪庭,塘沽,工农村街,塘汉路789号,南 满五年 ,91,10112
双卫 南北通透 装修好 电梯房 临地铁 商品住宅 动静分离,3室,2厅,2卫,139.89,南北,共5层,2015年建造,融创半湾半岛,北辰,双街镇,双进道,热门小区 南北通透 公摊小 ,226,16156
福满园房主急售 大两房 中间楼层 商圈成熟 南向采光好,2室,2厅,1卫,111.78,南,中层(共16层),2009年建造,福满园,大港,古林街,海景十路,南 热门小区 南北通透 配套成熟 ,102,9126
舒畅嘉园 临地铁 购物方便 交通便利 高楼层视野无遮挡,2室,1厅,1卫,79,南,高层(共21层),2013年建造,舒畅嘉园,东丽,地毯路,津滨大道,南 满五年 近地铁 ,89,11266
中海南开郡精装修两室 着急出售,2室,1厅,1卫,85,南,中层(共7层),2021年建造,中海南开郡,津南,海河教育园区,瑞明路 近慧南路,南 满二年 近地铁 次新房 ,177,20824
大两居 南北通透 高楼层视野无遮挡 临地铁 近医院 交通便利,2室,1厅,1卫,83.6,南北,高层(共6层),2001年建造,上江花园,河北,靖江路街,岷江路,南北 满五年 近地铁 ,85,10168
福苑居 装修好 出行方便 中间好楼层 低密度社区 正规商品房,2室,1厅,1卫,84.7,南北,高层(共7层),2001年建造,福苑居,塘沽,杭州道街,福建北路172号,南北 近地铁 ,93,10980
婚房   合居园 人车分流 通透户型 随时看房,2室,2厅,1卫,89.76,南北,低层(共33层),2021年建造,津南新城合居园,津南,咸水沽,尚德路,南北 满二年 次新房 ,103,11476
西营门街 刚需两居 南向采光好 装修好 正规商品房,2室,1厅,1卫,83.86,南,低层(共26层),2012年建造,和苑雅和园,红桥,西营门街,铁北路29号,南 ,110,13118
闽侯路   高端文明小区 商品房户型 业主着急用 ,1室,1厅,1卫,23,南北,中层(共6层),1998年建造,无锡道大楼小区,河西,大营门,南昌路70号,南北 近地铁 ,122,53044
建昌道街 大两房 医疗配套成熟 近地铁 出行方便 低密度社区,2室,1厅,1卫,86.76,南,低层(共32层),2013年建造,诗景颂苑,河北,建昌道街,迎春道389号,南 满五年 近地铁 ,180,20747
华远波士顿 东苑 小区新 高楼层采光充足 满五   停车方便,2室,2厅,1卫,89.32,北,高层(共26层),2015年建造,华远波士顿上东苑,津南,辛庄,高庄子村路,北 满五年 车位充足 ,104.5,11700
该房源满二年 税费低 诚意出售 产权清晰,2室,1厅,1卫,87.7,南北,高层(共32层),2010年建造,北开花园,红桥,大胡同街,北开大街6号,南北 近地铁 车位充足 ,200,22806
实验！3室2卫118万可议送储间全阳户型,3室,2厅,2卫,125,南北,高层(共6层),1999年建造,新华小区,静海,静海镇,西城胜利大街,南北 ,118,9440
八方观园精装两室 采光好 拎包入住 省去装修 地铁线,2室,1厅,1卫,98.21,南北,高层(共32层),2010年建造,八方观园,塘沽,西大沽街,天津大道 近水线路,南北 ,105,10692
八中 友谊商厦对面 龙湖春江郦城 通透三室双卫 好楼层,3室,2厅,2卫,143.53,南,中层(共16层),2021年建造,龙湖春江郦城,武清,杨村街,京津公路 近强国道,南 满二年 次新房 ,287,19996
急急急！降价处理可聊！万科精装现房洋房！    ,3室,2厅,2卫,98,南北,中层(共7层),2020年建造,万科翡翠大道翡翠北苑,西青,张家窝,赛达大道,南北 满二年 近地铁 绿化率高 ,190,19388
枫丹天城 房龄新 购物方便 南向采光好 双卫格局 电梯房,3室,2厅,2卫,110.71,南,高层(共18层),2016年建造,枫丹天城,武清,杨村街,雍阳西道 近翠源路,南 满五年 ,185,16711
楼层好 满五   朝南 临地铁 交通便捷 商圈成熟,1室,1厅,1卫,46.16,南,中层(共6层),1992年建造,石泉里,南开,长虹街,汾水道38号,南 满五年 近地铁 ,145,31413
鸿坤原乡郡 朝南 房龄新 购物方便 有电梯 满五  ,2室,1厅,1卫,79.13,南,低层(共27层),2016年建造,鸿坤原乡郡,武清,杨村街,滨河道 近泉奉路,南 满五年 车位充足 ,79,9984
林景家园 医疗配套成熟 近地铁 电梯房 满二 朝南,2室,2厅,1卫,90,南,高层(共28层),2015年建造,林景家园,津南,双港,吉兆路,南 满二年 近地铁 ,105,11667
福渔园两室 位置好 户型通透,2室,1厅,1卫,84.75,南北,高层(共11层),2010年建造,福渔园,大港,古林街,海景十路,南北 满五年 车位充足 ,95,11210
高楼层视野好 超低密度 南北通透 购物方便 出行方便 临地铁,2室,1厅,1卫,93.6,南北,高层(共6层),2000年建造,金潭花园,南开,万兴街,万兴街,南北 满二年 近地铁 ,268,28633
万科观澜    精装修 万科物业,3室,1厅,1卫,95,南北,低层(共27层),2013年建造,万科观澜,塘沽,胡家园街,和角道,南北 多人关注 ,75,7895
富力津门湖长滩鸣泉花园 南北通透 满五   环境好 交通便捷,3室,2厅,1卫,135,南北,低层(共11层),2012年建造,富力津门湖长滩鸣泉花园,西青,新梅江南,绥江道 近江湾路,南北 满五年 近地铁 绿化率高 ,326,24149
中环旁 普东新苑电梯两室 大H落地窗 改善可选,2室,1厅,1卫,88.68,东南,高层(共18层),2008年建造,普东新苑,北辰,普东街,宜白路1728号,东南 满五年 近地铁 ,107,12066
龙湾城龙吉园 刚需小三居 近广贤路中小价格可议随时看,3室,2厅,1卫,96,南,低层(共7层),2012年建造,龙吉园,武清,下朱庄街,知行道,南 满二年 ,110,11459
