待售房屋,室,厅,面积(平方米),楼层,小区名称,区,镇,道路,标签,价格,价格单位
富力津门湖江湾广场 2室2厅1卫 89平 电梯房 精装修,2,2,80,低层(共30层)                                                    ,富力津门湖江湾广场,西青,新梅江南,江湾路102号,"邻地铁,精装修,",4000,元/月
水上温泉花园 3室2厅2卫,3,2,151,高层(共7层)                                                    ,水上温泉花园,南开,水上公园,宾水西道186号,"邻地铁,配套齐全,精装修,",3528,元
中交海河公馆 1室1厅1卫 电梯房 50平,1,1,50.44,中层(共28层)                                                    ,中交海河公馆,南开,鼓楼,北马路339号,"邻地铁,精装修,随时看房,",4000,元/月
欣雅苑 南北通透的两室出租 家具家电齐全  看房有钥匙 随看,2,2,84.0,中层(共18层)                                                    ,欣雅苑,塘沽,北塘街,"嘉顺路,近欣发道","配套齐全,南北通透,有阳台,随时看房,",1700,元/月
新湾花园(北园) 2室1厅2卫 1100.0元 精装修,2,1,66.0,高层(共6层)                                                    ,新湾花园(北园),武清,杨村街,前进道,"配套齐全,精装修,南北通透,随时看房,",1100,元/月
月付可短租 理工大学 奥城大津城 十号线瑶环路地铁站拎包入住,1,1,30,高层(共6层)                                                    ,程华欣苑,西青,李七庄,津涞公路,"押一付一,配套齐全,精装修,",1200,元/月
福林里 2室1厅1卫 4500.0元 电梯房 精装修,2,1,65.0,中层(共11层)                                                    ,福林里,和平,体育馆,"沙市道,近云南路","邻地铁,精装修,",4500,元/月
毛坯房，一楼可长租，有钥匙随时看,2,1,66,低层(共24层)                                                    ,御江臺,河西,梅江,解放南路26号,"邻地铁,随时看房,",2700,元/月
新上好房！红树花园 2室2厅2卫 127平 电梯洋房 ！,2,2,127,高层(共10层)                                                    ,富力津门湖红树棕榈花园,西青,新梅江南,翠波道,"邻地铁,配套齐全,精装修,",5000,元/月
玺悦峰精装两室出租,2,2,78,低层(共16层)                                                    ,玺悦峰,宝坻,钰华街,南关大街,"配套齐全,精装修,南北通透,有阳台,",1200,元/月
朗文名邸！精装三室！视野无挡！九十二十一昆明路西康路,3,2,152,高层(共32层)                                                    ,犀地,和平,新兴街,"吴家窑二号路,近成都道","邻地铁,配套齐全,精装修,",12000,元/月
新湾北园 一室 家电齐全 低楼层 有钥匙 随时看房,1,1,67.0,中层(共6层)                                                    ,新湾花园(北园),武清,杨村街,前进道,"配套齐全,有阳台,随时看房,",1100,元/月
人民公园旁二楼两室精装修家具家电齐全智能门锁拎包入住随时可看,2,1,43.58,低层(共6层)                                                    ,祺寿里,河西,大营门,九江路,"邻地铁,配套齐全,精装修,",4400,元/月
可短租 押一付一 五号线昌凌路 十号线瑶环路 大津城 地铁房,1,1,30,中层(共6层)                                                    ,悦雅花园(AC区),西青,李七庄,昌凌路,"邻地铁,押一付一,配套齐全,",1300,元/月
可短租 押一付一 五号线昌凌路 十号线瑶环路 大津城 地铁房,1,1,30,中层(共6层)                                                    ,悦雅花园(AC区),西青,李七庄,昌凌路,"邻地铁,押一付一,配套齐全,",1300,元/月
饶河里 3室1厅1卫 2200.0元 64.42平米,3,1,64.42,低层(共6层)                                                    ,饶河里,北辰,集贤里,泰来道,,2200,元/月
中海城市广场 大户型5室 看海河 办公居住均可 方便停车,5,2,318,高层(共45层)                                                    ,中海城市广场,河东,大王庄,海河东路518号,"邻地铁,配套齐全,精装修,",18000,元/月
地铁附近 精装修大两室 家具家电齐全 拎包入住,2,1,90,中层(共7层)                                                    ,怡园里,南开,向阳路,密云路辅路,"邻地铁,配套齐全,精装修,",3500,元/月
荣溪园 1室1厅1卫 1300.0元 电梯房 精装修,1,1,63.66,中层(共27层)                                                    ,荣溪园,北辰,青光,北辰西道,"精装修,",1300,元/月
保利上河雅颂(北区) 2室2厅1卫 91平 电梯房,2,2,90,中层(共32层)                                                    ,保利上河雅颂(北区),武清,杨村街,"振华西道,近泉保路","配套齐全,有阳台,随时看房,",2000,元/月
万达青年城1室  屋子干净 拎包即住 价格便宜 靠近地铁,1,1,50.0,低层(共18层)                                                    ,万达青年城,北辰,小淀,华盛道65号,"邻地铁,配套齐全,南北通透,",1200,元/月
华江里 大一室 齐全 有钥匙,1,1,47,高层(共6层)                                                    ,华江里,河西,小海地,辰水道1号,"邻地铁,配套齐全,精装修,",1600,元/月
华江里 2室1厅1卫 精装修 59平 配套齐全,2,1,59,高层(共6层)                                                    ,华江里,河西,小海地,辰水道1号,"邻地铁,配套齐全,精装修,",1400,元/月
新旭园 2室1厅1卫 1200.0元 电梯房 精装修,2,1,91.0,中层(共23层)                                                    ,新旭园,津南,咸水沽,南华路,"精装修,",1200,元/月
整租  大直沽街  荣兴温泉公寓  1室1厅,1,1,42.45,高层(共7层)                                                    ,荣兴温泉公寓,河东,大直沽,"八纬路,近大直沽西路","邻地铁,",1800,元/月
保疆里 2室1厅1卫 4300.0元 73.0平米,2,1,73.0,高层(共6层)                                                    ,保疆里,和平,劝业场,包头道42号,"邻地铁,",4300,元/月
司法警校宿舍简装一室一厅。室内设施齐全，拎包入住。,1,1,54,高层(共6层)                                                    ,司法警校宿舍,河西,天塔,"纪庄子前街,近黑牛城道","邻地铁,押一付一,随时看房,",1550,元/月
整租迎风里 1室1厅 南北 二,1,1,26.77,低层(共6层)                                                    ,迎风里,南开,王顶堤,迎风道1号,"邻地铁,随时看房,",2060,元/月
宜鹏园 1室1厅1卫 1700.0元 60.0平米,1,1,60.0,中层(共6层)                                                    ,宜鹏园,北辰,宜兴埠,三千路,"邻地铁,",1700,元/月
整租  大直沽街  蝶桥公寓  1室1厅,1,1,51.17,低层(共7层)                                                    ,蝶桥公寓,河东,大直沽,八纬北路40号,"邻地铁,",1800,元/月
城市之星一室电梯房  临天津站239号 有钥匙随时看房,1,1,26,高层(共17层)                                                    ,城市之星大厦,河东,春华街,华龙道80号,"邻地铁,随时看房,",1400,元/月
汉沽河西宜春里两室一厅拎包入住双气车棚！,2,1,50,共4层                                                    ,宜春里,汉沽,河西,四平东道,"配套齐全,有阳台,随时看房,",750,元/月
远大城一室一厅一厨一卫，适合小两口居住，家具家电齐全可配齐,1,1,62,高层(共25层)                                                    ,远大城,宝坻,大白街,宝白公路,"配套齐全,有阳台,首次出租,随时看房,",700,元/月
华盛广场附近 低楼层 恩德西里 精装一室拎包入住！,1,1,34.93,低层(共6层)                                                    ,恩德西里,河西,越秀路,越秀路,"邻地铁,配套齐全,随时看房,",2200,元/月
大江北里 1室1厅1卫 1400.0元 41.29平米,1,1,41.29,低层(共6层)                                                    ,大江北里,河北,靖江路街,大江路,"邻地铁,",1400,元/月
大江北里 2室1厅1卫 1900.0元 58.34平米,2,1,58.34,中层(共6层)                                                    ,大江北里,河北,靖江路街,大江路,"邻地铁,",1900,元/月
义兴里 靠近海光寺地铁站 金融街 融侨中心 宝利国际 总医院,1,1,27,中层(共6层)                                                    ,义兴里,南开,万兴街,南丰路55号,"邻地铁,配套齐全,南北通透,",1600,元/月
汉沽大丰路附近平阳里一室一厅拎包入住双气车棚,1,1,40,共4层                                                    ,平阳里,汉沽,寨上街,人民街6号,"配套齐全,南北通透,有阳台,随时看房,",650,元/月
长华里南北通透五楼两室双阳居家陪读房源,2,1,82.79,高层(共6层)                                                    ,长华里,南开,华苑,华苑东路,"邻地铁,南北通透,随时看房,",2600,元/月
整租  二号桥  福东里  2室1厅,2,1,78.66,中层(共6层)                                                    ,福东里,河东,二号桥,"福东路,近津塘路","邻地铁,",2200,元/月
整租  万新街  东城家园  2室1厅,2,1,84,高层(共17层)                                                    ,东城家园,东丽,万新街,雪山路,"邻地铁,",1600,元/月
急租低楼层三楼 家具家电全 价格1400,1,1,44,中层(共6层)                                                    ,和睦西里,河东,中山门,和睦西道11号,"邻地铁,",1400,元/月
广开街朝园里一室一厅一卫低楼层简单装修,1,1,22.60,低层(共6层)                                                    ,朝园里,南开,广开街,五马路58号,"邻地铁,配套齐全,有阳台,",1900,元/月
民惠里 1室1厅1卫拎包入住 南北户型 出行便捷,1,1,58,中层(共6层)                                                    ,民惠里,东丽,无瑕街,无暇街,"邻地铁,",1000,元/月
整租  大直沽街  海峰公寓  2室2厅,2,2,94,低层(共6层)                                                    ,海峰公寓,河东,大直沽,六纬路199号,"邻地铁,",3500,元/月
宸欣家园 3室1厅2卫 2500.0元 电梯房,3,1,95.62,中层(共18层)                                                    ,宸欣家园,北辰,普东街,"汾河道,近姚江东路","邻地铁,",2500,元/月
